video_base,t_start_sec_x,t_end_sec_x,trimmed_name,start_frame12,window_activity,lat,long,timestamp,id,id_person,camera
columpioscam3-2024-11-13 07:56:36.mp4,4.0,8.0,trimmed_columpioscam3-2024-11-13_07_56_36_00-00-04_to_00-00-08_14.mp4,48.0,7.713624249770756,25.652999877929,-100.286102294921,2024-11-13 13:56:36.041513+00:00,columpioscam3-2024-11-13_075636.mp4:f7c83da0-6562-4b39-af60-41f6fe195a42:0,f7c83da0-6562-4b39-af60-41f6fe195a42,columpioscam3
columpioscam2-2024-12-17 11:56:49.mp4,10.0,14.0,trimmed_columpioscam2-2024-12-17_11_56_49_00-00-10_to_00-00-14_15.mp4,120.0,7.713624249770756,25.653099060058,-100.285820007324,2024-12-17 17:56:49.042358+00:00,columpioscam2-2024-12-17_115649.mp4:f4fd19b7-4f4f-4a11-889f-89d47153fcf8:0,f4fd19b7-4f4f-4a11-889f-89d47153fcf8,columpioscam2
columpios_cam4-2024-11-12 07:02:53.mp4,4.166666666666667,8.166666666666668,trimmed_columpios_cam4-2024-11-12_07_02_53_00-00-04_to_00-00-08_16.mp4,50.0,7.713624249770756,25.653018951416,-100.285926818847,2024-11-12 13:02:53.042899+00:00,columpios_cam4-2024-11-12_070253.mp4:ae1e4164-06cd-4b77-aa99-52bde107ec95:0,ae1e4164-06cd-4b77-aa99-52bde107ec95,columpios_cam4
columpioscam3-2024-09-25 14:54:59.mp4,13.25,17.25,trimmed_columpioscam3-2024-09-25_14_54_59_00-00-13_to_00-00-17_17.mp4,159.0,7.713624249770756,25.652985,-100.286125,2024-09-25 20:54:59.044300+00:00,columpioscam3-2024-09-25_145459.mp4:19:0,19,columpioscam3
columpios_cam4-2024-11-12 07:40:03.mp4,11.083333333333334,15.083333333333334,trimmed_columpios_cam4-2024-11-12_07_40_03_00-00-11_to_00-00-15_18.mp4,133.0,7.713624249770756,25.653018951416,-100.285919189453,2024-11-12 13:40:03.044415+00:00,columpios_cam4-2024-11-12_074003.mp4:6f6573e7-147a-48c6-b334-688cd2ed6a93:0,6f6573e7-147a-48c6-b334-688cd2ed6a93,columpios_cam4
columpioscam1-2024-10-04 11:28:15.mp4,8.333333333333334,12.333333333333334,trimmed_columpioscam1-2024-10-04_11_28_15_00-00-08_to_00-00-12_19.mp4,100.0,7.713624249770756,25.653194,-100.285652,2024-10-04 17:28:15.041600+00:00,columpioscam1-2024-10-04_112815.mp4:e32ac562-ab22-47ad-a35e-991062a8a236:0,e32ac562-ab22-47ad-a35e-991062a8a236,columpioscam1
hundidocam1-2024-10-03 17:02:59.mp4,10.0,14.0,trimmed_hundidocam1-2024-10-03_17_02_59_00-00-10_to_00-00-14_20.mp4,120.0,7.713624249770756,25.652973175048,-100.286277770996,2024-10-03 23:02:59.041494+00:00,hundidocam1-2024-10-03_170259.mp4:e085be6f-c77b-4c80-be70-8c1d2a0a3590:0,e085be6f-c77b-4c80-be70-8c1d2a0a3590,hundidocam1
columpios_cam4-2024-12-14_21-25-00.mp4,4.75,8.75,trimmed_columpios_cam4-2024-12-14_21-25-00_00-00-05_to_00-00-09_21.mp4,57.0,7.713624249770756,25.653045654296875,-100.2859115600586,2024-12-15 03:25:00.042053+00:00,columpios_cam4-2024-12-14_21-25-00.mp4:7e3a8f6a-007a-486b-bf8b-1b93e3295130:0,7e3a8f6a-007a-486b-bf8b-1b93e3295130,columpios_cam4
columpioscam3-2024-11-12 07:12:36.mp4,11.5,15.5,trimmed_columpioscam3-2024-11-12_07_12_36_00-00-12_to_00-00-16_22.mp4,138.0,7.713624249770756,25.653049468994,-100.286041259765,2024-11-12 13:12:36.048187+00:00,columpioscam3-2024-11-12_071236.mp4:53f4455d-1e1e-4abd-833e-d009d46324d5:0,53f4455d-1e1e-4abd-833e-d009d46324d5,columpioscam3
columpios_cam4-2024-11-13 14:08:19.mp4,7.833333333333333,11.833333333333332,trimmed_columpios_cam4-2024-11-13_14_08_19_00-00-08_to_00-00-12_23.mp4,94.0,7.713624249770756,25.653160095214,-100.285789489746,2024-11-13 20:08:21.145127+00:00,columpios_cam4-2024-11-13_140819.mp4:203199.0:0,203199.0,columpios_cam4
columpioscam3-2024-12-09_08-30-00.mp4,7.333333333333333,11.333333333333332,trimmed_columpioscam3-2024-12-09_08-30-00_00-00-07_to_00-00-11_24.mp4,88.0,7.713624249770756,25.653066635131836,-100.28612518310548,2024-12-09 14:30:01.243943+00:00,columpioscam3-2024-12-09_08-30-00.mp4:2660030d-af34-4a7b-bcc3-17fe6673c83d:0,2660030d-af34-4a7b-bcc3-17fe6673c83d,columpioscam3
columpios_cam4-2024-12-17_08-20-00.mp4,10.0,14.0,trimmed_columpios_cam4-2024-12-17_08-20-00_00-00-10_to_00-00-14_25.mp4,120.0,7.713624249770756,25.65302848815918,-100.2858657836914,2024-12-17 14:20:00.041494+00:00,columpios_cam4-2024-12-17_08-20-00.mp4:eeacea37-5d43-4876-9921-8913a9f5aab9:0,eeacea37-5d43-4876-9921-8913a9f5aab9,columpios_cam4
